0.00000000e+00	1.73810413e+02
2.00000000e+01	1.80224815e+02
4.00000000e+01	1.79875578e+02
6.00000000e+01	1.80787339e+02
8.00000000e+01	1.88715734e+02
1.00000000e+02	2.00111501e+02
1.20000000e+02	2.03774111e+02
1.40000000e+02	2.12417566e+02
1.60000000e+02	2.24907088e+02
1.80000000e+02	2.34583158e+02
2.00000000e+02	2.43670576e+02
2.20000000e+02	2.62765784e+02
2.40000000e+02	2.72476501e+02
2.60000000e+02	2.82678338e+02
2.80000000e+02	2.98050220e+02
3.00000000e+02	3.21570611e+02
3.20000000e+02	3.33380619e+02
3.40000000e+02	3.59763735e+02
3.60000000e+02	3.59101926e+02
3.80000000e+02	3.88244278e+02
4.00000000e+02	3.95739210e+02
4.20000000e+02	4.19068517e+02
4.40000000e+02	4.36839614e+02
4.60000000e+02	4.69905788e+02
4.80000000e+02	4.77234671e+02
5.00000000e+02	4.91835401e+02
5.20000000e+02	5.33943016e+02
5.40000000e+02	5.34968241e+02
5.60000000e+02	5.54421526e+02
5.80000000e+02	5.74965154e+02
6.00000000e+02	5.99743689e+02
6.20000000e+02	6.25135078e+02
6.40000000e+02	6.45981061e+02
6.60000000e+02	6.63191760e+02
6.80000000e+02	6.87468676e+02
7.00000000e+02	6.94355540e+02
7.20000000e+02	7.12903568e+02
7.40000000e+02	7.29598589e+02
7.60000000e+02	7.71079952e+02
7.80000000e+02	7.78330646e+02
8.00000000e+02	7.99443414e+02
8.20000000e+02	8.19775880e+02
8.40000000e+02	8.42597504e+02
8.60000000e+02	8.46949405e+02
8.80000000e+02	8.81102103e+02
9.00000000e+02	9.01352617e+02
9.20000000e+02	9.22602564e+02
9.40000000e+02	9.38983151e+02
9.60000000e+02	9.63384335e+02
9.80000000e+02	9.77881250e+02
1.00000000e+03	9.94066943e+02
